datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2018-05-28T22:00:00Z,2018-05-29T22:00:00Z,8.38,pm10,µg/m³,50.0,12,24,8.374999999999998,3.75,21.08
2018-05-29T22:00:00Z,2018-05-30T22:00:00Z,6.8,pm10,µg/m³,71.0,17,24,6.802941176470588,2.53,11.85
2018-05-30T22:00:00Z,2018-05-31T22:00:00Z,0.412,pm10,µg/m³,92.0,22,24,0.41181818181818186,0.0,4.4
2018-05-31T22:00:00Z,2018-06-01T22:00:00Z,5.62,pm10,µg/m³,88.0,21,24,5.62,1.8,13.2
2018-06-01T22:00:00Z,2018-06-02T22:00:00Z,9.57,pm10,µg/m³,88.0,21,24,9.568571428571431,4.1,15.83
2018-06-02T22:00:00Z,2018-06-03T22:00:00Z,9.6,pm10,µg/m³,83.0,20,24,9.601999999999999,6.03,14.78
2018-06-03T22:00:00Z,2018-06-04T22:00:00Z,7.47,pm10,µg/m³,71.0,17,24,7.470588235294118,3.08,12.6
2018-06-04T22:00:00Z,2018-06-05T22:00:00Z,13.4,pm10,µg/m³,100.0,24,24,13.351666666666667,4.03,32.88
2018-06-05T22:00:00Z,2018-06-06T22:00:00Z,13.4,pm10,µg/m³,96.0,23,24,13.403478260869562,2.68,31.78
2018-06-06T22:00:00Z,2018-06-07T22:00:00Z,4.21,pm10,µg/m³,88.0,21,24,4.207142857142857,0.38,7.45
2018-06-07T22:00:00Z,2018-06-08T22:00:00Z,6.66,pm10,µg/m³,100.0,24,24,6.655833333333334,2.88,14.28
2018-06-08T22:00:00Z,2018-06-09T22:00:00Z,16.1,pm10,µg/m³,92.0,22,24,16.098636363636363,6.5,26.33
2018-06-09T22:00:00Z,2018-06-10T22:00:00Z,7.18,pm10,µg/m³,96.0,23,24,7.184782608695652,2.3,11.9
2018-06-10T22:00:00Z,2018-06-11T22:00:00Z,7.01,pm10,µg/m³,92.0,22,24,7.010454545454547,1.78,16.05
2018-06-11T22:00:00Z,2018-06-12T22:00:00Z,6.29,pm10,µg/m³,71.0,17,24,6.29235294117647,3.73,12.7
2018-06-12T22:00:00Z,2018-06-13T22:00:00Z,10.1,pm10,µg/m³,96.0,23,24,10.070869565217393,4.43,18.28
2018-06-13T22:00:00Z,2018-06-14T22:00:00Z,7.94,pm10,µg/m³,88.0,21,24,7.942380952380952,5.38,12.7
2018-06-14T22:00:00Z,2018-06-15T22:00:00Z,6.08,pm10,µg/m³,96.0,23,24,6.078260869565218,1.45,11.2
2018-06-15T22:00:00Z,2018-06-16T22:00:00Z,12.0,pm10,µg/m³,88.0,21,24,11.993333333333334,2.95,17.05
2018-06-16T22:00:00Z,2018-06-17T22:00:00Z,15.1,pm10,µg/m³,8.0,2,24,15.115,14.63,15.6
2018-06-17T22:00:00Z,2018-06-18T22:00:00Z,3.76,pm10,µg/m³,88.0,21,24,3.7561904761904774,0.35,9.38
2018-06-18T22:00:00Z,2018-06-19T22:00:00Z,4.07,pm10,µg/m³,96.0,23,24,4.074347826086957,1.98,7.15
2018-06-19T22:00:00Z,2018-06-20T22:00:00Z,8.14,pm10,µg/m³,100.0,24,24,8.139583333333333,3.6,31.3
2018-06-20T22:00:00Z,2018-06-21T22:00:00Z,11.4,pm10,µg/m³,92.0,22,24,11.376818181818182,5.23,22.85
2018-06-21T22:00:00Z,2018-06-22T22:00:00Z,11.4,pm10,µg/m³,46.0,11,24,11.369090909090907,4.8,15.95
2018-06-22T22:00:00Z,2018-06-23T22:00:00Z,12.4,pm10,µg/m³,100.0,24,24,12.398333333333333,6.63,36.18
2018-06-23T22:00:00Z,2018-06-24T22:00:00Z,11.0,pm10,µg/m³,100.0,24,24,11.035416666666665,7.85,16.65
2018-06-24T22:00:00Z,2018-06-25T22:00:00Z,8.76,pm10,µg/m³,100.0,24,24,8.764583333333333,0.0,14.8
2018-06-25T22:00:00Z,2018-06-26T22:00:00Z,10.4,pm10,µg/m³,79.0,19,24,10.440526315789475,7.7,14.73
2018-06-26T22:00:00Z,2018-06-27T22:00:00Z,15.8,pm10,µg/m³,75.0,18,24,15.787777777777778,9.95,22.63
2018-06-27T22:00:00Z,2018-06-28T22:00:00Z,18.3,pm10,µg/m³,79.0,19,24,18.252105263157894,10.83,24.15
2018-06-28T22:00:00Z,2018-06-29T22:00:00Z,18.4,pm10,µg/m³,100.0,24,24,18.353749999999994,10.65,24.15
2018-06-29T22:00:00Z,2018-06-30T22:00:00Z,16.2,pm10,µg/m³,96.0,23,24,16.160434782608696,8.13,43.68
2018-06-30T22:00:00Z,2018-07-01T22:00:00Z,15.3,pm10,µg/m³,92.0,22,24,15.312272727272727,9.25,22.8
2018-07-01T22:00:00Z,2018-07-02T22:00:00Z,9.72,pm10,µg/m³,100.0,24,24,9.722499999999998,3.45,19.93
2018-07-02T22:00:00Z,2018-07-03T22:00:00Z,7.31,pm10,µg/m³,92.0,22,24,7.307272727272727,5.05,10.03
2018-07-03T22:00:00Z,2018-07-04T22:00:00Z,6.92,pm10,µg/m³,96.0,23,24,6.918260869565217,4.03,10.7
